,headbreadth,headcircumference,headlength,tragiontopofhead,n_hairs,measurement_error
1368,154,603,212,142,100007.992409,0.1
1369,154,562,194,127,100013.315325,0.1
1370,157,579,204,141,100005.208122,0.1
1371,154,573,200,126,100000.583719,0.1
1372,151,571,203,131,100007.206859,0.1
1373,151,575,202,117,99984.545524,0.1
1374,154,585,206,118,100016.389616,0.1
1375,154,584,193,128,99986.745087,0.1
1376,164,624,213,133,100009.037094,0.1
1377,153,568,197,132,99994.358361,0.1
1378,153,569,197,144,100005.072516,0.1
1379,150,574,202,120,99998.834326,0.1
1380,161,596,199,137,100003.035898,0.1
1381,158,573,202,136,99991.992130,0.1
1382,156,558,191,112,99978.393720,0.1
1383,162,573,196,129,100004.066556,0.1
1384,157,554,184,123,99993.994957,0.1
1385,150,541,183,120,99993.513642,0.1
1386,159,557,182,128,99992.746769,0.1
1387,160,587,205,126,100019.844112,0.1
1388,152,558,191,124,99994.178076,0.1
1389,154,568,194,134,100003.268130,0.1
1390,157,617,217,140,99988.395568,0.1
1391,152,596,210,129,100015.230967,0.1
1392,156,600,208,141,99994.437320,0.1
1393,145,551,188,132,99973.993582,0.1
1394,149,562,194,130,100027.119499,0.1
1395,164,615,214,143,99989.018514,0.1
1396,145,575,200,127,100013.089323,0.1
1397,142,578,203,131,100007.330726,0.1
1398,149,547,187,140,100006.521796,0.1
1399,148,597,207,134,99997.685152,0.1
1400,152,565,194,124,100001.891988,0.1
1401,158,580,194,132,100012.239360,0.1
1402,158,593,206,134,99996.990693,0.1
1403,150,559,191,126,100002.513096,0.1
1404,148,566,193,131,100009.282902,0.1
1405,155,567,188,130,100000.833888,0.1
1406,150,584,205,125,99995.750168,0.1
1407,147,565,197,135,100014.516789,0.1
1408,152,560,197,119,100003.416886,0.1
1409,142,571,202,127,99998.748273,0.1
1410,160,584,204,122,99992.241052,0.1
1411,153,560,193,134,99989.944028,0.1
1412,151,571,198,127,100008.937841,0.1
1413,155,582,205,131,100009.492681,0.1
1414,160,558,186,135,99978.292889,0.1
1415,154,581,198,127,99993.845084,0.1
1416,153,581,207,137,100009.648881,0.1
1417,156,598,213,132,100024.243066,0.1
1418,156,553,182,132,100021.503538,0.1
1419,158,595,202,139,100009.418662,0.1
1420,160,590,206,135,100013.733325,0.1
1421,151,574,198,130,99994.725805,0.1
1422,151,563,197,135,100007.745345,0.1
1423,152,594,207,124,99987.628353,0.1
1424,148,563,196,135,99994.381237,0.1
1425,153,580,192,124,100003.209711,0.1
1426,149,577,201,131,100021.679371,0.1
1427,153,590,209,136,100007.479633,0.1
1428,152,563,192,129,100002.738271,0.1
1429,155,559,194,135,99998.299164,0.1
1430,169,587,198,132,99986.775570,0.1
1431,148,554,192,123,100006.028630,0.1
1432,153,591,202,122,99996.509063,0.1
1433,153,598,202,139,100002.390447,0.1
1434,151,548,185,129,99991.106691,0.1
1435,158,572,198,133,100001.212550,0.1
1436,153,549,187,137,99984.629711,0.1
1437,160,604,208,137,100005.039062,0.1
1438,147,566,204,134,100013.197259,0.1
1439,157,577,199,146,100009.139508,0.1
1440,147,544,188,119,100021.138238,0.1
1441,149,579,202,131,100003.245535,0.1
1442,158,615,216,123,100005.053634,0.1
1443,147,572,204,124,100005.148648,0.1
1444,157,614,217,135,99991.202702,0.1
1445,150,605,211,137,100021.532335,0.1
1446,154,584,202,139,100009.885781,0.1
1447,158,577,197,132,99997.571736,0.1
1448,144,535,186,124,99990.971683,0.1
1449,157,581,202,124,100005.815093,0.1
1450,150,557,200,126,100008.575476,0.1
1451,151,568,193,136,100001.378849,0.1
1452,160,601,209,128,100001.860745,0.1
1453,146,548,192,126,99998.118832,0.1
1454,159,604,207,138,99999.972526,0.1
1455,152,587,207,133,100013.351413,0.1
1456,153,594,213,133,100014.006179,0.1
1457,165,575,195,135,99984.998231,0.1
1458,154,557,192,122,100001.388789,0.1
1459,151,568,200,130,99987.958987,0.1
1460,162,583,201,130,99986.643045,0.1
1461,163,580,200,138,100005.859528,0.1
1462,155,572,203,124,99991.584307,0.1
1463,161,597,198,134,99968.466425,0.1
1464,143,560,196,127,100006.451527,0.1
1465,160,592,205,133,100012.821418,0.1
1466,152,569,200,130,100020.387771,0.1
1467,151,560,192,125,99996.037067,0.1
1468,159,575,196,116,100014.454453,0.1
1469,154,590,205,136,99973.789884,0.1
1470,147,581,202,138,99989.566004,0.1
1471,159,578,200,129,100005.189694,0.1
1472,155,573,196,138,100004.715343,0.1
1473,150,579,203,125,100013.204179,0.1
1474,155,566,194,135,100009.566895,0.1
1475,147,548,189,127,99999.184300,0.1
1476,152,567,195,125,100015.292479,0.1
1477,163,623,213,138,100006.864826,0.1
1478,160,607,213,136,100017.170887,0.1
1479,157,583,200,125,99991.957230,0.1
1480,164,575,191,121,100003.002537,0.1
1481,157,582,200,128,99995.704043,0.1
1482,162,575,196,134,100008.059133,0.1
1483,158,570,190,131,99997.804478,0.1
1484,152,572,196,129,99997.481478,0.1
1485,160,574,201,128,99986.735104,0.1
1486,152,553,186,130,100003.082041,0.1
1487,146,563,199,133,100011.154894,0.1
1488,155,557,195,131,100010.081956,0.1
1489,154,573,200,127,99969.839680,0.1
1490,148,558,206,123,99983.803543,0.1
1491,157,567,193,128,100020.051405,0.1
1492,162,581,202,129,99998.123737,0.1
1493,160,574,196,134,99998.510588,0.1
1494,153,577,200,125,100011.653354,0.1
1495,157,570,193,133,100001.966453,0.1
1496,160,595,204,121,99993.674099,0.1
1497,157,590,204,134,99997.901531,0.1
1498,144,564,200,135,100018.971607,0.1
1499,153,567,196,137,99986.186088,0.1
1500,155,577,198,128,100013.012248,0.1
1501,154,577,194,141,99996.876079,0.1
1502,158,606,212,141,99997.287713,0.1
1503,144,590,210,146,100018.629131,0.1
1504,170,617,210,127,99993.571264,0.1
1505,150,566,192,130,100008.350584,0.1
1506,161,613,216,130,99996.369465,0.1
1507,156,576,200,135,99985.679330,0.1
1508,146,588,210,124,99998.339801,0.1
1509,154,580,203,126,100011.689264,0.1
1510,152,600,212,138,99998.141078,0.1
1511,157,572,191,126,100005.494218,0.1
1512,156,588,202,133,100001.885533,0.1
1513,156,607,210,133,100000.468314,0.1
1514,150,550,185,132,99995.825022,0.1
1515,163,573,188,131,100001.317823,0.1
1516,156,581,202,127,99979.671065,0.1
1517,154,572,193,125,99995.516783,0.1
1518,155,582,198,123,99981.960564,0.1
1519,150,571,199,127,100002.696988,0.1
1520,150,567,195,118,100003.546605,0.1
1521,172,589,191,127,99992.039348,0.1
1522,156,574,196,124,100008.013076,0.1
1523,148,583,207,133,100003.958306,0.1
1524,155,584,204,126,100002.935721,0.1
1525,155,593,202,127,99996.385961,0.1
1526,156,615,216,134,100004.727930,0.1
1527,151,560,192,120,100010.542070,0.1
1528,154,590,208,131,99993.395568,0.1
1529,157,603,201,128,99991.831556,0.1
1530,154,565,196,126,100011.890108,0.1
1531,160,590,204,132,99976.815715,0.1
1532,158,584,205,136,99973.827099,0.1
1533,160,610,208,135,99981.852729,0.1
1534,149,563,197,130,100001.817410,0.1
1535,154,585,201,142,100001.523742,0.1
1536,149,576,203,130,100004.965050,0.1
1537,165,588,200,138,100000.759773,0.1
1538,148,574,200,142,100015.373798,0.1
1539,145,560,192,135,100015.757834,0.1
1540,152,582,203,137,100011.590106,0.1
1541,153,586,204,133,99988.441997,0.1
1542,148,574,202,126,100003.635779,0.1
1543,147,574,202,137,99991.337973,0.1
1544,156,559,192,133,99994.992896,0.1
1545,156,584,204,134,99989.766378,0.1
1546,152,558,194,132,100000.107124,0.1
1547,148,571,200,122,100005.441241,0.1
1548,154,554,189,129,100000.786920,0.1
1549,146,554,188,135,99988.066313,0.1
1550,152,564,194,131,99984.739648,0.1
1551,154,574,203,130,99992.379152,0.1
1552,157,588,200,137,99992.223616,0.1
1553,141,554,193,133,100007.842732,0.1
1554,156,585,210,142,99996.807191,0.1
1555,140,565,201,124,99998.113337,0.1
1556,152,570,196,123,99998.430649,0.1
1557,158,588,201,129,100010.968481,0.1
1558,153,580,197,125,100016.361151,0.1
1559,151,556,194,128,100004.270585,0.1
1560,143,576,207,117,99997.516942,0.1
1561,166,596,204,133,100014.025015,0.1
1562,161,577,197,134,100004.382414,0.1
1563,154,584,207,138,99995.789031,0.1
1564,158,578,202,138,100010.105737,0.1
1565,158,613,215,130,100002.072299,0.1
1566,154,588,210,135,99985.659693,0.1
1567,152,591,208,124,100006.269063,0.1
1568,155,584,205,128,100002.998252,0.1
1569,152,578,202,127,99981.433586,0.1
1570,159,614,213,140,99978.489568,0.1
1571,157,591,204,137,100001.363010,0.1
1572,146,573,210,124,100006.833563,0.1
1573,151,556,191,126,100006.085801,0.1
1574,147,564,198,124,99986.390202,0.1
1575,163,596,203,121,99996.529901,0.1
1576,163,594,203,130,100006.665899,0.1
1577,164,607,209,141,99984.642478,0.1
1578,158,605,213,142,100000.852830,0.1
1579,154,587,205,137,100002.133293,0.1
1580,155,555,189,125,100009.237560,0.1
1581,162,592,199,133,99975.461081,0.1
1582,151,592,210,134,100001.449873,0.1
1583,160,614,217,147,100020.181219,0.1
1584,153,569,197,129,99993.787927,0.1
1585,149,562,196,137,99996.837607,0.1
1586,144,550,194,127,100009.539922,0.1
1587,148,586,203,127,99992.368574,0.1
1588,154,577,203,136,100011.569549,0.1
1589,148,570,203,140,100005.405332,0.1
1590,154,574,194,123,99984.259266,0.1
1591,156,586,202,127,100001.005934,0.1
1592,157,588,205,115,99985.410180,0.1
1593,158,584,194,142,100009.525478,0.1
1594,154,588,206,133,99983.193255,0.1
1595,156,568,191,132,99981.882463,0.1
1596,157,586,202,135,99988.626956,0.1
1597,144,589,211,134,99991.969273,0.1
1598,152,581,196,126,100013.149408,0.1
1599,153,572,203,128,99999.817425,0.1
1600,154,581,200,129,100002.910045,0.1
1601,147,582,205,145,100010.748997,0.1
1602,156,554,191,127,99993.021901,0.1
1603,156,543,185,124,99994.216743,0.1
1604,150,568,201,128,99991.525475,0.1
1605,155,568,192,134,100007.849046,0.1
1606,154,555,192,124,100016.332762,0.1
1607,157,572,194,122,100002.587425,0.1
1608,156,571,193,126,99993.767200,0.1
1609,156,596,204,126,99994.796390,0.1
1610,151,584,200,140,99988.876857,0.1
1611,156,594,211,132,100007.311454,0.1
1612,154,580,202,138,99989.370712,0.1
1613,158,582,203,130,99997.453669,0.1
1614,165,600,201,130,99988.310387,0.1
1615,151,573,193,145,99981.005369,0.1
1616,157,566,190,123,99974.600446,0.1
1617,153,570,188,128,99991.100385,0.1
1618,153,577,201,128,100002.180785,0.1
1619,154,566,196,118,99996.821844,0.1
1620,157,587,204,138,99997.764251,0.1
1621,156,594,207,130,99989.286201,0.1
1622,151,567,205,128,99990.683184,0.1
1623,148,555,197,130,99989.322977,0.1
1624,151,572,199,129,100002.112337,0.1
1625,150,562,197,131,100020.476548,0.1
1626,140,545,191,120,99998.636275,0.1
1627,153,560,193,117,99986.307196,0.1
1628,148,562,191,122,100012.726233,0.1
1629,154,561,192,127,99990.014336,0.1
1630,164,610,211,140,100005.575326,0.1
1631,157,585,201,144,99995.573446,0.1
1632,147,562,192,126,100000.810832,0.1
1633,153,599,212,139,100034.326634,0.1
1634,155,584,207,129,99992.524737,0.1
1635,159,625,219,139,99994.133196,0.1
1636,160,587,198,141,100003.752355,0.1
1637,156,576,199,123,99999.780532,0.1
1638,148,572,200,128,99995.939291,0.1
1639,164,586,199,130,99993.115925,0.1
1640,145,543,187,110,100005.904939,0.1
1641,156,574,196,130,100010.773766,0.1
1642,154,590,198,117,99990.479159,0.1
1643,153,541,193,121,99988.635669,0.1
1644,166,600,206,139,100018.299062,0.1
1645,152,567,199,127,99985.748438,0.1
1646,157,590,203,140,100007.153334,0.1
1647,146,567,204,119,100004.391274,0.1
1648,153,590,211,128,99988.970305,0.1
1649,159,585,197,130,100007.594936,0.1
1650,154,587,206,120,99988.967837,0.1
1651,150,561,201,121,99989.104489,0.1
1652,150,572,201,128,99986.104498,0.1
1653,155,564,192,126,100008.342832,0.1
1654,150,550,194,122,99995.506542,0.1
1655,154,584,206,121,100010.852513,0.1
1656,154,531,178,123,99991.898600,0.1
1657,156,577,204,135,100006.146626,0.1
1658,155,564,192,133,100014.074106,0.1
1659,138,555,201,121,99999.139865,0.1
1660,156,576,198,126,99988.745473,0.1
1661,144,560,194,126,99996.574291,0.1
1662,156,588,206,126,100012.567375,0.1
1663,158,579,204,127,100007.390938,0.1
1664,153,563,199,128,99996.140119,0.1
1665,151,550,188,129,99982.556276,0.1
1666,167,584,192,129,100007.155368,0.1
1667,150,563,196,129,100016.309063,0.1
1668,158,591,206,127,100016.485941,0.1
1669,151,567,196,130,100004.327902,0.1
1670,151,587,208,126,99998.089708,0.1
1671,155,578,200,120,99992.138787,0.1
1672,164,602,207,126,99994.273982,0.1
1673,163,584,199,129,99983.502497,0.1
1674,150,573,201,123,100021.345516,0.1
1675,153,564,195,122,99999.730356,0.1
1676,161,598,207,127,100023.844051,0.1
1677,156,583,203,130,99999.255026,0.1
1678,150,565,197,122,99983.816821,0.1
1679,148,547,186,119,100018.615651,0.1
1680,158,592,205,135,99991.401730,0.1
1681,158,577,191,118,99995.620918,0.1
1682,145,549,190,116,100016.485511,0.1
1683,153,576,200,128,100014.587732,0.1
1684,158,582,204,129,99979.737936,0.1
1685,166,598,202,134,100000.010548,0.1
1686,153,594,209,139,99989.104650,0.1
1687,147,567,195,116,100005.391382,0.1
1688,159,589,202,128,100018.121771,0.1
1689,149,600,216,134,99994.825102,0.1
1690,163,563,185,119,100014.932228,0.1
1691,155,582,197,130,99990.713557,0.1
1692,152,583,205,127,100021.722705,0.1
1693,154,570,194,124,99991.743461,0.1
1694,164,613,206,140,99995.366620,0.1
1695,161,563,191,124,100002.969574,0.1
1696,162,604,207,138,99985.994056,0.1
1697,158,587,205,125,100015.496089,0.1
1698,157,568,196,117,99989.299831,0.1
1699,161,597,203,127,100006.139516,0.1
1700,149,563,195,125,99987.108700,0.1
1701,154,574,201,128,100001.097829,0.1
1702,152,578,202,124,99999.894738,0.1
1703,150,575,200,121,99996.117591,0.1
1704,160,620,213,137,100004.892192,0.1
1705,160,589,203,134,99988.831677,0.1
1706,164,588,201,137,100015.218658,0.1
1707,153,577,191,134,100002.024474,0.1
1708,160,574,194,130,99972.085560,0.1
1709,157,598,210,134,100020.055616,0.1
1710,161,594,202,140,100004.527136,0.1
1711,160,603,211,137,100015.535652,0.1
1712,155,599,210,134,99998.230634,0.1
1713,176,585,194,133,99977.373847,0.1
1714,152,562,193,116,99995.802821,0.1
1715,156,590,204,131,99987.739300,0.1
1716,154,564,193,132,99999.615175,0.1
1717,141,575,202,132,99995.172731,0.1
1718,159,563,193,135,100002.090123,0.1
1719,164,575,195,125,99982.355919,0.1
1720,152,573,202,127,100000.537824,0.1
1721,150,578,204,133,99995.404182,0.1
1722,159,604,206,129,100006.335089,0.1
1723,156,576,199,133,99983.076975,0.1
1724,146,527,187,125,99995.749290,0.1
1725,148,573,206,125,100016.583993,0.1
1726,154,568,196,140,99988.189371,0.1
1727,148,558,197,127,100007.380537,0.1
1728,165,613,207,146,100013.305061,0.1
1729,157,577,194,124,99999.899102,0.1
1730,150,581,210,134,100009.885106,0.1
1731,156,566,197,138,100010.414396,0.1
1732,153,570,200,134,100015.697555,0.1
1733,154,576,197,133,99996.321678,0.1
1734,171,625,214,136,99998.877009,0.1
1735,153,597,210,127,100008.041229,0.1
1736,161,567,191,125,99992.543560,0.1
1737,150,563,194,127,100000.480507,0.1
1738,154,560,194,133,99993.014293,0.1
1739,180,600,193,145,99976.709589,0.1
1740,166,591,200,127,100003.349151,0.1
1741,154,594,207,118,100017.024300,0.1
1742,158,586,198,136,99996.279353,0.1
1743,149,582,207,129,100000.842974,0.1
1744,152,578,207,121,99995.468950,0.1
1745,159,587,199,133,99992.590367,0.1
1746,157,583,198,130,100001.361045,0.1
1747,157,564,196,112,100010.729311,0.1
1748,155,601,210,125,100022.158433,0.1
1749,153,582,205,132,100008.264766,0.1
1750,153,574,204,135,99990.386362,0.1
1751,147,547,183,127,99985.729844,0.1
1752,156,570,195,128,100013.068306,0.1
1753,149,582,197,124,100003.167150,0.1
1754,157,586,202,137,99993.895368,0.1
1755,152,575,198,127,99989.438279,0.1
1756,151,566,200,117,99991.922776,0.1
1757,154,598,205,140,100012.334249,0.1
1758,151,574,200,121,99999.776406,0.1
1759,154,595,211,130,99985.995300,0.1
1760,156,603,212,136,100008.725790,0.1
1761,154,565,197,130,100003.101026,0.1
1762,147,550,194,123,99997.088678,0.1
1763,170,584,193,140,100006.077152,0.1
1764,150,562,200,124,99991.723160,0.1
1765,158,593,204,137,100009.639046,0.1
1766,158,599,211,132,99985.751391,0.1
1767,158,584,200,120,99990.965573,0.1
1768,150,578,208,134,99986.231170,0.1
1769,156,578,197,134,99995.834409,0.1
1770,155,579,200,128,99992.425490,0.1
1771,152,590,210,131,99996.373541,0.1
1772,159,597,199,138,100000.047678,0.1
1773,152,562,194,133,100005.542525,0.1
1774,160,575,200,125,100001.465321,0.1
1775,144,574,204,138,100002.518597,0.1
1776,158,592,205,126,100016.043239,0.1
1777,153,588,202,123,99997.335094,0.1
1778,154,557,194,120,99985.416641,0.1
1779,156,593,205,135,100009.513818,0.1
1780,152,574,202,140,100018.358695,0.1
1781,158,578,201,120,100001.872887,0.1
1782,156,578,202,135,100008.395342,0.1
1783,153,568,193,139,99993.443833,0.1
1784,153,598,211,137,100001.856754,0.1
1785,154,580,199,125,100006.370253,0.1
1786,154,582,204,132,100003.785756,0.1
1787,159,597,210,144,99994.603023,0.1
1788,146,584,204,140,100016.306298,0.1
1789,153,577,197,125,100001.728161,0.1
1790,165,558,178,130,100009.301982,0.1
1791,152,569,192,130,100004.057790,0.1
1792,154,577,202,131,100008.736742,0.1
1793,154,597,216,146,100009.332533,0.1
1794,155,583,202,131,99997.838449,0.1
1795,149,593,206,132,100008.336788,0.1
1796,155,565,194,120,100021.604557,0.1
1797,156,582,198,140,100019.989920,0.1
1798,153,573,204,133,100007.640414,0.1
1799,157,591,205,128,100016.872552,0.1
1800,158,590,206,140,99986.920287,0.1
1801,150,555,192,125,100014.723963,0.1
1802,154,573,198,129,100000.748761,0.1
1803,156,584,201,135,99982.130646,0.1
1804,152,579,203,137,100001.652106,0.1
1805,160,583,196,135,100009.762963,0.1
1806,160,586,199,126,99993.039723,0.1
1807,157,586,202,135,100019.371316,0.1
1808,157,579,202,140,100013.492277,0.1
1809,154,548,190,129,99987.248861,0.1
1810,157,577,202,125,100010.090903,0.1
1811,154,568,197,130,100001.119727,0.1
1812,158,593,203,141,99994.483198,0.1
1813,154,581,202,125,99996.833684,0.1
1814,152,563,197,129,99995.550050,0.1
1815,151,557,188,132,99987.837290,0.1
1816,150,562,196,123,99995.516769,0.1
1817,154,589,202,138,100006.926889,0.1
1818,153,562,183,129,100014.259420,0.1
1819,158,586,202,127,100014.583383,0.1
1820,160,590,206,131,99994.266393,0.1
1821,141,545,189,114,99998.827523,0.1
1822,154,592,202,125,99991.406287,0.1
1823,153,582,202,131,100010.300025,0.1
1824,146,548,187,126,99983.518471,0.1
1825,152,569,196,140,99986.367234,0.1
1826,159,580,204,131,99993.641533,0.1
1827,153,548,188,118,100002.514734,0.1
1828,158,568,194,124,99996.788520,0.1
1829,158,546,187,132,100000.330639,0.1
1830,147,550,193,128,100000.475346,0.1
1831,152,582,205,140,100002.332797,0.1
1832,167,596,202,146,99989.655370,0.1
1833,153,578,203,139,99996.606402,0.1
1834,157,588,206,126,100005.776123,0.1
1835,147,596,211,135,100002.802292,0.1
1836,150,587,198,140,100010.933066,0.1
1837,163,606,204,135,99992.537757,0.1
1838,150,553,190,126,100009.062614,0.1
1839,149,558,200,133,100014.666247,0.1
1840,148,555,188,137,99998.574097,0.1
1841,146,537,183,117,100002.659301,0.1
1842,157,597,198,133,100002.251894,0.1
1843,152,568,200,129,100005.356706,0.1
1844,158,565,190,131,100003.879211,0.1
1845,161,573,189,131,100014.694877,0.1
1846,161,577,192,134,100005.133649,0.1
1847,148,571,202,130,100008.645017,0.1
1848,156,613,220,139,100003.315267,0.1
1849,147,577,199,133,99989.582297,0.1
1850,151,568,197,124,100004.333604,0.1
1851,157,574,193,145,99997.700440,0.1
1852,158,582,194,139,99993.649126,0.1
1853,145,568,202,139,99991.056294,0.1
1854,154,588,206,132,99999.296029,0.1
1855,155,567,194,128,99993.925359,0.1
1856,146,566,198,127,100020.396723,0.1
1857,160,598,208,134,100015.967719,0.1
1858,151,573,203,130,99997.330697,0.1
1859,163,570,190,130,100007.091572,0.1
1860,160,594,211,144,100011.569625,0.1
1861,153,580,200,134,99998.271606,0.1
1862,162,587,202,140,100018.482334,0.1
1863,157,575,194,139,100009.221104,0.1
1864,151,558,194,121,99998.982909,0.1
1865,157,574,197,131,99982.007009,0.1
1866,150,570,198,131,99990.340448,0.1
1867,147,561,196,129,100003.186925,0.1
1868,156,575,198,129,99995.617361,0.1
1869,161,587,201,142,99999.792467,0.1
1870,154,566,191,122,99992.126865,0.1
1871,154,583,208,138,100002.469227,0.1
1872,147,550,196,131,99995.416980,0.1
1873,154,600,211,135,99984.472941,0.1
1874,165,573,193,133,99996.583567,0.1
1875,149,556,190,131,99994.279741,0.1
1876,154,595,208,137,99984.483424,0.1
1877,151,568,199,125,100014.231772,0.1
1878,162,581,198,126,99999.239490,0.1
1879,153,581,202,132,99996.731339,0.1
1880,168,590,203,134,100007.503748,0.1
1881,154,574,204,133,99999.174048,0.1
1882,168,571,183,141,100007.672936,0.1
1883,158,577,198,142,99985.193454,0.1
1884,154,555,192,129,99989.633441,0.1
1885,143,548,196,126,100005.452276,0.1
1886,162,584,200,144,100014.918974,0.1
1887,155,586,208,140,100000.300115,0.1
1888,146,560,195,128,100002.164343,0.1
1889,151,563,197,135,99991.765561,0.1
1890,159,571,194,130,99999.700641,0.1
1891,144,545,194,126,99992.910633,0.1
1892,157,572,194,127,99998.397619,0.1
1893,153,567,196,131,100007.222801,0.1
1894,146,550,193,131,99980.012361,0.1
1895,160,613,212,136,100002.130257,0.1
1896,151,576,198,139,99991.954584,0.1
1897,150,566,198,124,99993.534178,0.1
1898,151,555,191,122,100011.381728,0.1
1899,152,582,202,135,100002.954397,0.1
1900,160,602,206,138,100009.336296,0.1
1901,158,615,213,130,99982.362253,0.1
1902,157,590,207,133,99995.897832,0.1
1903,163,583,196,133,99995.463329,0.1
1904,163,588,204,137,99994.105703,0.1
1905,144,564,200,133,100004.402345,0.1
1906,158,585,197,127,100008.959215,0.1
1907,155,580,201,131,99988.932211,0.1
1908,157,583,200,120,99990.373374,0.1
1909,161,597,203,130,99987.480426,0.1
1910,153,571,196,126,100011.476067,0.1
1911,152,558,187,127,99994.852651,0.1
1912,149,566,197,130,99998.986192,0.1
1913,155,587,203,140,99996.677893,0.1
1914,155,595,210,135,99990.363434,0.1
1915,156,593,212,135,100003.732610,0.1
1916,148,553,193,128,100003.830269,0.1
1917,163,582,198,134,100009.413256,0.1
1918,157,588,203,128,99997.745799,0.1
1919,157,562,194,135,99997.029126,0.1
1920,157,576,196,129,99994.144783,0.1
1921,154,580,202,136,100014.881416,0.1
1922,151,564,196,131,100010.075670,0.1
1923,155,597,207,128,99999.596148,0.1
1924,163,597,210,125,100006.489736,0.1
1925,153,583,206,127,99994.141563,0.1
1926,161,585,203,121,100020.544748,0.1
1927,162,614,214,133,99994.084337,0.1
1928,155,583,211,134,99996.203110,0.1
1929,157,583,206,133,99996.289685,0.1
1930,150,554,188,135,100017.012350,0.1
1931,153,563,196,123,100001.476024,0.1
1932,154,565,196,124,100010.844186,0.1
1933,159,584,206,131,99998.899030,0.1
1934,149,553,188,127,99987.870250,0.1
1935,153,578,199,129,100007.754802,0.1
1936,154,576,206,137,99993.735435,0.1
1937,154,573,201,132,99986.814775,0.1
1938,152,587,206,129,99995.839245,0.1
1939,155,575,203,125,100006.316571,0.1
1940,155,556,189,135,100017.642851,0.1
1941,155,576,202,135,99986.125221,0.1
1942,157,584,206,134,99978.009420,0.1
1943,152,557,195,123,100009.301570,0.1
1944,151,578,207,124,100003.000513,0.1
1945,159,577,194,134,99994.365271,0.1
1946,152,600,218,140,100004.183619,0.1
1947,158,593,212,136,100007.294431,0.1
1948,152,570,205,126,100019.120687,0.1
1949,157,557,189,135,99998.696581,0.1
1950,153,554,190,126,100012.798002,0.1
1951,154,585,207,135,99995.482441,0.1
1952,154,565,197,124,99994.903313,0.1
1953,162,588,200,135,100004.237734,0.1
1954,161,608,213,141,99988.850325,0.1
1955,160,591,205,134,99986.980410,0.1
1956,146,593,215,128,100009.631931,0.1
1957,154,579,199,132,99980.369249,0.1
1958,154,564,196,133,100001.133483,0.1
1959,146,588,211,133,99996.752577,0.1
1960,144,549,194,129,99996.269798,0.1
1961,156,581,198,133,99986.676947,0.1
1962,149,523,177,123,99979.640976,0.1
1963,150,546,192,126,99993.390915,0.1
1964,157,570,201,123,99988.347820,0.1
1965,162,564,193,115,99995.745810,0.1
1966,158,574,196,135,100000.880361,0.1
1967,154,575,205,142,99992.582398,0.1
1968,150,547,191,126,99989.274747,0.1
1969,154,557,194,130,100002.900414,0.1
1970,148,570,203,134,99992.381653,0.1
1971,153,563,196,128,99990.404682,0.1
1972,168,604,200,140,99997.008467,0.1
1973,154,581,201,134,100002.854914,0.1
1974,161,571,201,136,100021.087484,0.1
1975,157,600,201,134,100016.135616,0.1
1976,168,588,196,137,99987.366191,0.1
1977,155,569,191,133,99986.757508,0.1
1978,154,576,203,132,100000.647174,0.1
1979,150,567,198,130,100005.569989,0.1
1980,150,575,197,125,99998.682944,0.1
1981,151,551,186,117,100021.723328,0.1
1982,146,539,186,122,100011.770702,0.1
1983,147,579,208,122,100016.400574,0.1
1984,144,547,188,125,99995.821294,0.1
1985,156,576,198,128,99991.031204,0.1
1986,161,577,204,136,99989.297117,0.1
1987,161,595,205,122,99998.862184,0.1
1988,170,578,190,133,99987.416501,0.1
1989,153,561,196,129,99993.662079,0.1
1990,154,590,202,125,99995.692303,0.1
1991,153,556,195,127,100009.442847,0.1
1992,155,561,192,140,99995.271244,0.1
1993,149,562,195,120,99985.929359,0.1
1994,149,557,196,121,99995.525267,0.1
1995,154,564,193,127,100001.885829,0.1
1996,152,561,197,118,100005.609181,0.1
1997,162,583,194,127,99990.783409,0.1
1998,160,583,204,133,100006.473751,0.1
1999,155,555,187,129,100013.868256,0.1
2000,154,573,204,126,100004.895166,0.1
2001,166,608,214,136,100002.387959,0.1
2002,157,571,202,122,99995.518882,0.1
2003,153,547,190,137,99993.892050,0.1
2004,156,569,198,127,99979.700549,0.1
2005,153,585,204,135,100006.079466,0.1
2006,157,588,202,142,99996.458911,0.1
2007,154,588,202,141,100001.525815,0.1
2008,162,573,196,126,100005.012748,0.1
2009,158,577,201,138,99992.135972,0.1
2010,158,580,201,137,100010.169957,0.1
2011,157,600,209,141,100001.131106,0.1
2012,152,563,196,128,100014.969952,0.1
2013,157,571,198,128,100001.689377,0.1
2014,152,577,206,121,100003.186247,0.1
2015,154,566,196,123,99997.266229,0.1
2016,150,566,193,123,100014.764140,0.1
2017,146,549,198,120,99978.965072,0.1
2018,162,570,191,127,99994.671680,0.1
2019,164,555,183,138,99996.949460,0.1
2020,157,566,197,137,99984.695793,0.1
2021,155,575,202,144,99992.052973,0.1
2022,153,584,204,136,99978.278773,0.1
2023,152,564,196,140,100001.903872,0.1
2024,155,572,198,128,99985.947725,0.1
2025,148,564,198,130,100003.698605,0.1
2026,164,607,210,127,99997.382183,0.1
2027,151,576,206,130,99991.672865,0.1
2028,158,555,190,137,99984.462174,0.1
2029,144,565,207,120,99993.171522,0.1
2030,159,590,208,141,100003.106238,0.1
2031,158,573,191,130,99998.745528,0.1
